"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 11:45:30 GMT+03:00 2025","Sun Mar 16 11:45:30 GMT+03:00 2025","196","","CreateUserTest","","CreateUserTest","withoutEmail","Создание пользователя без указания логина","Проверка, что система возвращает ошибку при попытке создания пользователя без указания поля email."
"passed","Sun Mar 16 11:45:30 GMT+03:00 2025","Sun Mar 16 11:45:30 GMT+03:00 2025","189","","CreateUserTest","","CreateUserTest","withoutName","Создание пользователя без указания имени","Проверка, что система возвращает ошибку при попытке создания пользователя без указания поля name."
"passed","Sun Mar 16 11:45:15 GMT+03:00 2025","Sun Mar 16 11:45:16 GMT+03:00 2025","1150","","ChangeDataUserTest","","ChangeDataUserTest","authorizationAndChangeName","Изменение имени авторизованного пользователя","Проверка успешного изменения поля name авторизованного пользователя."
"passed","Sun Mar 16 11:45:40 GMT+03:00 2025","Sun Mar 16 11:45:41 GMT+03:00 2025","1222","","LoginUserTest","","LoginUserTest","withoutPassword","Авторизация без указания пароля","Проверка, что система возвращает ошибку при попытке авторизации без указания поля password."
"passed","Sun Mar 16 11:45:37 GMT+03:00 2025","Sun Mar 16 11:45:38 GMT+03:00 2025","1151","","LoginUserTest","","LoginUserTest","successAuthorization","Успешная авторизация пользователя","Проверка успешной авторизации пользователя с корректными полями email, password, name."
"passed","Sun Mar 16 11:45:20 GMT+03:00 2025","Sun Mar 16 11:45:23 GMT+03:00 2025","3540","","CreateOrderTest","","CreateOrderTest","multiIngredients","Создание заказа с несколькими ингредиентами","Проверка успешного создания заказа с несколькими ингредиентами и авторизованным пользователем."
"passed","Sun Mar 16 11:45:35 GMT+03:00 2025","Sun Mar 16 11:45:36 GMT+03:00 2025","1082","","LoginUserTest","","LoginUserTest","withIncorrectEmail","Авторизация с некорректным логином","Проверка, что система возвращает ошибку при попытке авторизации с некорректным полем email."
"passed","Sun Mar 16 11:45:18 GMT+03:00 2025","Sun Mar 16 11:45:19 GMT+03:00 2025","1065","","ChangeDataUserTest","","ChangeDataUserTest","withoutAuthorizationAndChangePassword","Изменение пароля без авторизации","Проверка, что система возвращает ошибку при попытке изменения поля password без авторизации."
"passed","Sun Mar 16 11:45:36 GMT+03:00 2025","Sun Mar 16 11:45:37 GMT+03:00 2025","1160","","LoginUserTest","","LoginUserTest","withIncorrectPassword","Авторизация с некорректным паролем","Проверка, что система возвращает ошибку при попытке авторизации с некорректным полем password."
"passed","Sun Mar 16 11:45:13 GMT+03:00 2025","Sun Mar 16 11:45:14 GMT+03:00 2025","1091","","ChangeDataUserTest","","ChangeDataUserTest","withoutAuthorizationAndChangeName","Изменение имени без авторизации","Проверка, что система возвращает ошибку при попытке изменения поля name без авторизации."
"passed","Sun Mar 16 11:45:41 GMT+03:00 2025","Sun Mar 16 11:45:45 GMT+03:00 2025","3891","","ReceivingOrdersTest","","ReceivingOrdersTest","receivingOrdersGivenUser","Получение заказов авторизованного пользователя","Проверка успешного получения списка заказов для авторизованного пользователя."
"passed","Sun Mar 16 11:45:34 GMT+03:00 2025","Sun Mar 16 11:45:35 GMT+03:00 2025","1186","","LoginUserTest","","LoginUserTest","withoutEmail","Авторизация без указания логина","Проверка, что система возвращает ошибку при попытке авторизации без указания поля email."
"passed","Sun Mar 16 11:45:31 GMT+03:00 2025","Sun Mar 16 11:45:33 GMT+03:00 2025","1182","","CreateUserTest","","CreateUserTest","withExistingLogin","Создание пользователя с уже существующим логином","Проверка, что система возвращает ошибку при попытке создания пользователя с уже существующим полем email."
"passed","Sun Mar 16 11:45:07 GMT+03:00 2025","Sun Mar 16 11:45:13 GMT+03:00 2025","6121","","ChangeDataUserTest","","ChangeDataUserTest","authorizationAndRepeatEmail","Попытка изменения логина на уже существующий","Проверка, что система возвращает ошибку при попытке изменения поля email на уже существующий в системе."
"passed","Sun Mar 16 11:45:31 GMT+03:00 2025","Sun Mar 16 11:45:31 GMT+03:00 2025","179","","CreateUserTest","","CreateUserTest","withoutPassword","Создание пользователя без указания пароля","Проверка, что система возвращает ошибку при попытке создания пользователя без указания поля password."
"passed","Sun Mar 16 11:45:29 GMT+03:00 2025","Sun Mar 16 11:45:30 GMT+03:00 2025","366","","CreateOrderWithoutAuthorizationTest","","CreateOrderWithoutAuthorizationTest","oneIngredient","Создание заказа с одним ингредиентом без авторизации","Проверка, что система возвращает ошибку при попытке создания заказа с одним ингредиентом без авторизации."
"passed","Sun Mar 16 11:45:38 GMT+03:00 2025","Sun Mar 16 11:45:40 GMT+03:00 2025","1173","","LoginUserTest","","LoginUserTest","withIncorrectName","Авторизация с некорректным именем","Проверка, что авторизация проходит успешно, даже если указано некорректное имя (оно не влияет на авторизацию)."
"passed","Sun Mar 16 11:45:29 GMT+03:00 2025","Sun Mar 16 11:45:29 GMT+03:00 2025","368","","CreateOrderWithoutAuthorizationTest","","CreateOrderWithoutAuthorizationTest","multiIngredients","Создание заказа с несколькими ингредиентами без авторизации","Проверка, что система возвращает ошибку при попытке создания заказа с несколькими ингредиентами без авторизации."
"passed","Sun Mar 16 11:45:45 GMT+03:00 2025","Sun Mar 16 11:45:48 GMT+03:00 2025","3662","","ReceivingOrdersTest","","ReceivingOrdersTest","receivingOrdersWithAuthorization","Получение заказов без авторизации конкректного пользователя","Проверка, что система возвращает ошибку при попытке получения списка заказов без авторизации конкретного пользователя."
"passed","Sun Mar 16 11:45:28 GMT+03:00 2025","Sun Mar 16 11:45:29 GMT+03:00 2025","413","","CreateOrderWithoutAuthorizationTest","","CreateOrderWithoutAuthorizationTest","withoutIngredients","Создание заказа без ингредиентов без авторизации","Проверка, что система возвращает ошибку при попытке создания заказа без ингредиентов без авторизации."
"passed","Sun Mar 16 11:45:16 GMT+03:00 2025","Sun Mar 16 11:45:18 GMT+03:00 2025","1163","","ChangeDataUserTest","","ChangeDataUserTest","withoutAuthorizationAndChangeEmail","Изменение логина без авторизации","Проверка, что система возвращает ошибку при попытке изменения поля email без авторизации."
"passed","Sun Mar 16 11:45:14 GMT+03:00 2025","Sun Mar 16 11:45:15 GMT+03:00 2025","1183","","ChangeDataUserTest","","ChangeDataUserTest","authorizationAndChangeEmail","Изменение логина авторизованного пользователя","Проверка успешного изменения поля email авторизованного пользователя."
"passed","Sun Mar 16 11:45:19 GMT+03:00 2025","Sun Mar 16 11:45:20 GMT+03:00 2025","1215","","CreateOrderTest","","CreateOrderTest","withoutIngredients","Создание заказа без ингредиентов","Проверка, что система возвращает ошибку при попытке создания заказа без ингредиентов."
"passed","Sun Mar 16 11:45:27 GMT+03:00 2025","Sun Mar 16 11:45:28 GMT+03:00 2025","1431","","CreateOrderTest","","CreateOrderTest","incorrectHashIngredients","Создание заказа с некорректным хэшем ингредиентов","Проверка, что система возвращает ошибку при попытке создания заказа с некорректным хэшем ингредиентов."
"passed","Sun Mar 16 11:45:30 GMT+03:00 2025","Sun Mar 16 11:45:31 GMT+03:00 2025","944","","CreateUserTest","","CreateUserTest","createNewUser","Создание нового пользователя с валидными данными","Проверка успешного создания пользователя, когда все обязательные поля (email, password, name) заполнены корректно."
"passed","Sun Mar 16 11:45:23 GMT+03:00 2025","Sun Mar 16 11:45:27 GMT+03:00 2025","3563","","CreateOrderTest","","CreateOrderTest","oneIngredient","Создание заказа с одним ингредиентом","Проверка успешного создания заказа с одним ингредиентом и авторизованным пользователем."
"passed","Sun Mar 16 11:45:30 GMT+03:00 2025","Sun Mar 16 11:45:30 GMT+03:00 2025","370","","CreateOrderWithoutAuthorizationTest","","CreateOrderWithoutAuthorizationTest","incorrectHashIngredients","Создание заказа с некорректным хэшем ингредиентов без авторизации","Проверка, что система возвращает ошибку при попытке создания заказа с некорректным хэшем ингредиентов без авторизации."
"passed","Sun Mar 16 11:45:33 GMT+03:00 2025","Sun Mar 16 11:45:34 GMT+03:00 2025","1163","","LoginUserTest","","LoginUserTest","withoutName","Авторизация без указания имени","Проверка, что авторизация проходит успешно, даже если поле name не указано (оно не является обязательным для авторизации)."
